time,dest,dir,len,etd
1417114081.72,Richmond,North,6,2
1417114142.08,Fremont,South,6,15
1417114142.08,Richmond,North,6,Leaving
1417114201.45,Fremont,South,6,14
1417114201.45,Richmond,North,6,20
1417114261.82,Fremont,South,6,13
1417114261.82,Richmond,North,6,19
1417114321.19,Fremont,South,6,12
1417114321.19,Richmond,North,6,18
1417114381.56,Fremont,South,6,11
1417114381.56,Richmond,North,6,17
1417114441.89,Fremont,South,6,10
1417114441.89,Richmond,North,6,17
1417114501.24,Fremont,South,6,10
1417114501.24,Richmond,North,6,16
1417114561.61,Fremont,South,6,10
1417114561.61,Richmond,North,6,15
1417114621.98,Fremont,South,6,7
1417114621.98,Richmond,North,6,14
1417114681.31,Fremont,South,6,6
1417114681.31,Richmond,North,6,13
1417114741.68,Fremont,South,6,5
1417114741.68,Richmond,North,6,12
1417114802.05,Fremont,South,6,4
1417114802.05,Richmond,North,6,12
1417114861.4,Fremont,South,6,3
1417114861.4,Richmond,North,6,11
1417114921.77,Fremont,South,6,1
1417114921.77,Richmond,North,6,10
1417114981.14,Fremont,South,6,Leaving
1417114981.14,Richmond,North,6,10
1417115041.49,Fremont,South,6,20
1417115041.49,Richmond,North,6,8
1417115101.82,Fremont,South,6,19
1417115101.82,Richmond,North,6,7
1417115161.19,Fremont,South,6,18
1417115161.19,Richmond,North,6,6
1417115221.54,Fremont,South,6,17
1417115221.54,Richmond,North,6,6
1417115281.9,Fremont,South,6,16
1417115281.9,Richmond,North,6,5
1417115341.25,Fremont,South,6,15
1417115341.25,Richmond,North,6,3
1417115401.64,Fremont,South,6,14
1417115401.64,Richmond,North,6,2
1417115462.02,Fremont,South,6,13
1417115462.02,Richmond,North,6,1
1417115521.39,Fremont,South,6,12
1417115521.39,Richmond,North,6,Leaving
1417115581.76,Fremont,South,6,11
1417115581.76,Richmond,North,6,18
1417115641.12,Fremont,South,6,10
1417115641.12,Richmond,North,6,17
1417115701.43,Fremont,South,6,9
1417115701.43,Richmond,North,6,16
1417115761.78,Fremont,South,6,8
1417115761.78,Richmond,North,6,15
1417115821.12,Fremont,South,6,7
1417115821.12,Richmond,North,6,14
1417115881.47,Fremont,South,6,6
1417115881.47,Richmond,North,6,13
1417115941.81,Fremont,South,6,5
1417115941.81,Richmond,North,6,12
1417116001.18,Fremont,South,6,4
1417116001.18,Richmond,North,6,11
1417116061.53,Fremont,South,6,3
1417116061.53,Richmond,North,6,10
1417116121.89,Fremont,South,6,2
1417116121.89,Richmond,North,6,8
1417116181.22,Fremont,South,6,Leaving
1417116181.22,Richmond,North,6,7
1417116241.58,Fremont,South,6,20
1417116241.58,Richmond,North,6,6
1417116301.91,Fremont,South,6,19
1417116301.91,Richmond,North,6,5
1417116361.28,Fremont,South,6,18
1417116361.28,Richmond,North,6,4
1417116421.64,Fremont,South,6,17
1417116421.64,Richmond,North,6,3
1417116481.99,Fremont,South,6,16
1417116481.99,Richmond,North,6,2
1417116541.35,Fremont,South,6,15
1417116541.35,Richmond,North,6,1
1417116601.71,Fremont,South,6,14
1417116601.71,Richmond,North,6,Leaving
1417116662.07,Fremont,South,6,13
1417116662.07,Richmond,North,6,19
1417116721.42,Fremont,South,6,12
1417116721.42,Richmond,North,6,18
1417116781.8,Fremont,South,6,11
1417116781.8,Richmond,North,6,18
1417116841.16,Fremont,South,6,10
1417116841.16,Richmond,North,6,17
1417116901.5,Fremont,South,6,9
1417116901.5,Richmond,North,6,16
1417116961.86,Fremont,South,6,9
1417116961.86,Richmond,North,6,14
1417117021.24,Fremont,South,6,7
1417117021.24,Richmond,North,6,13
1417117081.61,Fremont,South,6,6
1417117081.61,Richmond,North,6,12
1417117141.99,Fremont,South,6,5
1417117141.99,Richmond,North,6,12
1417117201.36,Fremont,South,6,4
1417117201.36,Richmond,North,6,11
1417117261.68,Fremont,South,6,3
1417117261.68,Richmond,North,6,9
1417117322.06,Fremont,South,6,2
1417117322.06,Richmond,North,6,9
1417117381.39,Fremont,South,6,Leaving
1417117381.39,Richmond,North,6,8
1417117441.73,Fremont,South,6,20
1417117441.73,Richmond,North,6,7
1417117502.09,Fremont,South,6,19
1417117502.09,Richmond,North,6,5
1417117561.42,Fremont,South,6,18
1417117561.42,Richmond,North,6,4
1417117621.78,Fremont,South,6,17
1417117621.78,Richmond,North,6,3
1417117681.13,Fremont,South,6,16
1417117681.13,Richmond,North,6,2
1417117741.49,Fremont,South,6,15
1417117741.49,Richmond,North,6,1
1417117801.86,Fremont,South,6,14
1417117801.86,Richmond,North,6,20
1417117861.2,Fremont,South,6,13
1417117861.2,Richmond,North,6,19
1417117921.54,Fremont,South,6,12
1417117921.54,Richmond,North,6,18
1417117981.9,Fremont,South,6,11
1417117981.9,Richmond,North,6,17
1417118041.25,Fremont,South,6,10
1417118041.25,Richmond,North,6,17
1417118101.56,Fremont,South,6,9
1417118101.56,Richmond,North,6,16
1417118161.91,Fremont,South,6,8
1417118161.91,Richmond,North,6,15
1417118221.26,Fremont,South,6,7
1417118221.26,Richmond,North,6,14
1417118281.63,Fremont,South,6,6
1417118281.63,Richmond,North,6,13
1417118341.97,Fremont,South,6,5
1417118341.97,Richmond,North,6,12
1417118401.32,Fremont,South,6,4
1417118401.32,Richmond,North,6,11
1417118461.69,Fremont,South,6,3
1417118461.69,Richmond,North,6,9
1417118522.0,Fremont,South,6,2
1417118522.0,Richmond,North,6,8
1417118581.36,Fremont,South,6,Leaving
1417118581.36,Richmond,North,6,7
1417118641.74,Fremont,South,6,20
1417118641.74,Richmond,North,6,6
1417118701.09,Fremont,South,6,19
1417118701.09,Richmond,North,6,6
1417118761.46,Fremont,South,6,18
1417118761.46,Richmond,North,6,5
1417118821.83,Fremont,South,6,17
1417118821.83,Richmond,North,6,4
1417118881.2,Fremont,South,6,16
1417118881.2,Richmond,North,6,3
1417118941.56,Fremont,South,6,15
1417118941.56,Richmond,North,6,2
1417119001.93,Fremont,South,6,14
1417119001.93,Richmond,North,6,Leaving
1417119061.28,Fremont,South,6,13
1417119061.28,Richmond,North,6,19
1417119121.65,Fremont,South,6,12
